model,model_short,run_dir,suppression_condition,mean_absent,mean_suppressed_indirect,mean_mentioned,mentioned_minus_suppressed_indirect,ms_ci95_low,ms_ci95_high,ms_p,ms_d,suppressed_indirect_minus_absent,sa_ci95_low,sa_ci95_high,sa_p,sa_d,mentioned_minus_absent,ma_ci95_low,ma_ci95_high,ma_p,ma_d,ordering_supported,n_matched
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,suppressed_indirect,0.13829372591820227,0.5525896949931798,0.7720587800904475,0.2194690850972678,0.20801902044102025,0.23068368994745092,9.999000099990002e-05,0.5698644737486467,0.4142959690749774,0.40367072561457557,0.4250943752109682,9.999000099990002e-05,1.1511875619005512,0.6337650541722452,0.6248282937218734,0.6426639057522437,9.999000099990002e-05,2.0579843208154225,True,4488
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,suppressed_indirect,0.08780433142547268,0.4594086848616485,0.5503573711406645,0.09094868627901599,0.08085017977706115,0.10074410589261874,9.999000099990002e-05,0.27559127138114337,0.3716043534361758,0.3598137180368215,0.38341671230526136,9.999000099990002e-05,0.9393729244648462,0.4625530397151918,0.4519212962595465,0.47323557558277396,9.999000099990002e-05,1.3001790953910495,True,4488
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,suppressed_indirect,0.13098552084344736,0.5369168537071372,0.7078089804538696,0.1708921267467324,0.15989561220268927,0.18135856078466264,9.999000099990002e-05,0.5049464893759842,0.4059313328636899,0.393743492151416,0.41843533852439374,9.999000099990002e-05,1.0308208205118392,0.5768234596104223,0.5650378851333474,0.588591697058246,9.999000099990002e-05,1.5601501534220399,True,3944
