model,model_short,run_dir,pooling,concepts_path,probe_seeds,include_indirect,only_indirect,include_hard_negatives,selected_condition,selected_delta_col,n_layers,peak_layer,peak_mean_absent,peak_mean_suppressed_indirect,peak_delta,peak_ci95_low,peak_ci95_high,peak_paired_p,peak_wilcoxon_p,peak_cohen_d,mean_delta_across_layers,probe_accuracy,probe_auc,probe_f1
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,concepts.json,"13,42,101",True,True,True,suppressed_indirect,mean_delta_suppressed_indirect_minus_absent,33,1,0.1669181779082663,0.6776837094294033,0.5107655315211369,0.4435529710560685,0.5768128645467159,1.4446187389647346e-29,9.854192360152696e-20,1.2522251405673317,0.4142959690749774,0.8240670005375887,0.9159184436962214,0.8160776051949595
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,concepts.json,"13,42,101",True,True,True,suppressed_indirect,mean_delta_suppressed_indirect_minus_absent,33,0,0.1682911485458732,0.6942216836122261,0.5259305350663528,0.4554391042086156,0.5910188700132701,7.867244932202703e-32,3.0070885344813193e-20,1.3314453728249682,0.3716043534361758,0.8061002178649238,0.9000902268876124,0.7979482430511712
google/gemma-7b-it,Gemma 7B IT,results_cross_model/gemma_indirect_only/google_gemma-7b-it__pool-mean_nonpad__seed-42,mean_nonpad,concepts.json,"13,42,101",True,True,True,suppressed_indirect,mean_delta_suppressed_indirect_minus_absent,29,28,0.1133785116208302,0.5946092745446298,0.4812307629237994,0.4264699244886712,0.5350946897374937,2.737424758608035e-37,4.597822277805021e-24,1.5285743996380583,0.4059313328636898,0.8109082713545188,0.9096424010217113,0.8055898593993177
