model,model_short,run_dir,pooling,selected_condition,layer,mean_absent,mean_condition,mean_delta,ci95_low_delta,ci95_high_delta,paired_p,cohen_d,region,layer_rank_fraction
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,10,0.1104432673655862,0.4056868882466513,0.2952436208810651,0.2323270924536343,0.3589237276906708,6.567764812251734e-16,0.7872604369417798,early,0.3125
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,11,0.1237054834712283,0.4011264823483522,0.2774209988771239,0.2155097841768612,0.3396563721391963,4.041325557589735e-15,0.7599004324683061,middle,0.34375
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,12,0.1518647720991729,0.4409738491766136,0.2891090770774407,0.2275096515285213,0.348043056503592,5.94403696698314e-15,0.7540615263554395,middle,0.375
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,13,0.1714755671906871,0.4786403449525667,0.3071647777618795,0.2472463526478267,0.3721101628831873,5.786858828339972e-17,0.8235364429122997,middle,0.40625
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,14,0.1678792659864381,0.4174134062498313,0.2495341402633932,0.1903366441736842,0.3087062070495423,6.126543658015655e-13,0.6828945468396669,middle,0.4375
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,15,0.1752761356829063,0.441988338495374,0.2667122028124677,0.2021421551757109,0.3302353363251696,5.212315763243461e-14,0.720980106984293,middle,0.46875
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,16,0.1715143214650567,0.5015680981142668,0.3300537766492102,0.2727261706508996,0.3888149431249629,4.385768996772148e-21,0.9633102623113986,middle,0.5
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,17,0.1611234030088874,0.5208954057114611,0.3597720027025736,0.3020954980229373,0.4172949372640558,1.0890139047145332e-24,1.0851165821783182,middle,0.53125
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,18,0.1430000269177893,0.5456100905388849,0.4026100636210955,0.3521682966969215,0.4537279181516706,1.5639284386675855e-31,1.3209293015646717,middle,0.5625
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,19,0.150956531727027,0.5221327811399099,0.3711762494128828,0.3209096690254698,0.4232105201912003,4.4463022247010906e-29,1.2352997832165276,middle,0.59375
