model,model_short,run_dir,pooling,selected_condition,layer,mean_absent,mean_condition,mean_delta,ci95_low_delta,ci95_high_delta,paired_p,cohen_d,region,layer_rank_fraction
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,0,0.2149179176606587,0.6641946131788037,0.4492766955181449,0.3858578172174978,0.5100056308843967,4.14560468061796e-29,1.2363524848792384,early,0.0
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,1,0.1669181779082663,0.6776837094294033,0.5107655315211369,0.4435529710560685,0.5768128645467159,1.4446187389647346e-29,1.2522251405673317,early,0.03125
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,2,0.17652877313634,0.6557850577887019,0.4792562846523618,0.4001235131239882,0.5554787540843481,7.51557528373997e-24,1.056706388510419,early,0.0625
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,3,0.1357472969401187,0.6263099857480756,0.4905626888079569,0.4162125484135153,0.5636869685910058,1.701334385263954e-25,1.1124878349365248,early,0.09375
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,4,0.115673103042342,0.5960980751617664,0.4804249721194243,0.410752184610305,0.5448335405634724,3.312588410192068e-27,1.170850290456525,early,0.125
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,5,0.0991102513503949,0.5896980641434956,0.4905878127931007,0.4228545005263882,0.5579861958303541,3.680153952943961e-28,1.2036175699192642,early,0.15625
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,6,0.0962977288716453,0.5616274664963993,0.4653297376247539,0.3959044377634129,0.531948657195182,1.849407459791985e-27,1.179526017033921,early,0.1875
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,7,0.1014396565693184,0.4979892833554151,0.3965496267860967,0.32775451748897,0.4621274423096947,4.677762776945128e-22,0.9961077358977496,early,0.21875
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,8,0.0914032627030586,0.4854532243872196,0.394049961684161,0.3337813764190154,0.45222636048985,1.378149191587903e-25,1.1155988522060836,early,0.25
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,9,0.1026048062499998,0.433842818397967,0.3312380121479671,0.2734622636734095,0.3907388365015444,1.2090589585972083e-20,0.948445561516688,early,0.28125
